Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Eigenfactor Score
89,Nano Today,1748-0132,"7,073",17.753,0.014
90,EUROPEAN UROLOGY,0302-2838,"30,723",17.581,0.071
91,Nature Reviews Gastroenterology & Hepatology,1759-5045,"6,686",17.324,0.024
92,GUT,0017-5749,"42,750",17.016,0.072
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"99,084",16.834,0.214
94,Science Translational Medicine,1946-6234,"26,692",16.71,0.126
95,JAMA Psychiatry,2168-622X,"8,414",16.642,0.045
95,JAMA Psychiatry,2168-622X,"8,414",16.642,0.045
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426,"1,123",16.375,0.003
98,Nature Reviews Disease Primers,2056-676X,"1,559",16.071,0.007
99,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"4,402",15.952,0.01
100,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,"35,124",15.938,0.039
101,ACTA NEUROPATHOLOGICA,0001-6322,"18,786",15.876,0.041
102,Annual Review of Materials Research,1531-7331,"7,801",15.846,0.008
103,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,"16,944",15.678,0.031
104,Nature Reviews Rheumatology,1759-4790,"6,584",15.661,0.022
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,"25,391",15.557,0.041
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,"25,391",15.557,0.041
107,ENDOCRINE REVIEWS,0163-769X,"12,975",15.545,0.01
108,CELL RESEARCH,1001-0602,"13,728",15.393,0.037
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,"3,797",15.325,0.005
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,"61,024",15.239,0.088
111,Lancet Psychiatry,2215-0374,"3,223",15.233,0.015
111,Lancet Psychiatry,2215-0374,"3,223",15.233,0.015
113,CIRCULATION RESEARCH,0009-7330,"52,753",15.211,0.083
114,Nature Reviews Cardiology,1759-5002,"5,228",15.162,0.018
115,BLOOD,0006-4971,"167,858",15.132,0.278
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"8,900",15.071,0.01
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"8,900",15.071,0.01
118,JOURNAL OF HEPATOLOGY,0168-8278,"37,108",15.04,0.087
119,INTENSIVE CARE MEDICINE,0342-4642,"22,135",15.008,0.038
120,Annual Review of Medicine,0066-4219,"6,111",14.97,0.01
121,Annual Review of Fluid Mechanics,0066-4189,"11,622",14.814,0.012
122,Annual Review of Neuroscience,0147-006X,"13,320",14.675,0.016
123,COORDINATION CHEMISTRY REVIEWS,0010-8545,"30,949",14.499,0.035
124,Nature Geoscience,1752-0894,"20,386",14.391,0.079
125,Physical Review X,2160-3308,"10,288",14.385,0.07
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,"533,512",14.357,0.728
127,Annual Review of Physiology,0066-4278,"9,111",14.327,0.013
128,NEURON,0896-6273,"89,413",14.319,0.217
129,REPORTS ON PROGRESS IN PHYSICS,0034-4885,"15,949",14.257,0.031
130,MOLECULAR CELL,1097-2765,"61,604",14.248,0.181
131,TRENDS IN IMMUNOLOGY,1471-4906,"11,204",14.188,0.027
132,Nature Microbiology,2058-5276,"2,510",14.174,0.014
